GeneName	HumanOrtholog	HumanTitle
cyp-13A10	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cth-1	CTH 	 cystathionase (cystathionine gamma-lyase)
cth-2	CTH 	 cystathionase (cystathionine gamma-lyase)
mlp-1	CSRP2 	 cysteine and glycine-rich protein 2
chp-1	CHORDC1 	 cysteine and histidine-rich domain (CHORD) containing 1
nkat-1	CCBL2 	 cysteine conjugate-beta lyase 2
nkat-3	CCBL2 	 cysteine conjugate-beta lyase 2
cdo-1	CDO1 	 cysteine dioxygenase type 1
crm-1	CRIM1 	 cysteine rich transmembrane BMP regulator 1 (chordin-like)
tag-266	CHIC1 	 cysteine-rich hydrophobic domain 1
valv-1	CRIP1 	 cysteine-rich protein 1 (intestinal)
exc-9	CRIP1 	 cysteine-rich protein 1 (intestinal)
cars-1	CARS 	 cysteinyl-tRNA synthetase
ctns-1	CTNS 	 cystinosin, lysosomal cystine transporter
tag-131	CYB5D2 	 cytochrome b5 domain containing 2
hpo-19	CYB5R2 	 cytochrome b5 reductase 2
cytb-5.1	CYB5A 	 cytochrome b5 type A (microsomal)
cco-2	COX5A 	 cytochrome c oxidase subunit Va
cyc-1	CYC1 	 cytochrome c-1
cyc-2.2	CYCS 	 cytochrome c, somatic
cyc-2.1	CYCS 	 cytochrome c, somatic
cyp-44A1	CYP24A1 	 cytochrome P450, family 24, subfamily A, polypeptide 1
cyp-25A1	CYP3A4 	 cytochrome P450, family 3, subfamily A, polypeptide 4
cyp-25A2	CYP3A4 	 cytochrome P450, family 3, subfamily A, polypeptide 4
cyp-25A4	CYP3A4 	 cytochrome P450, family 3, subfamily A, polypeptide 4
cyp-25A3	CYP3A4 	 cytochrome P450, family 3, subfamily A, polypeptide 4
cyp-25A6	CYP3A4 	 cytochrome P450, family 3, subfamily A, polypeptide 4
grp-1	CYTH3 	 cytohesin 3
gex-2	CYFIP1 	 cytoplasmic FMR1 interacting protein 1
cls-2	CLASP2 	 cytoplasmic linker associated protein 2
cls-3	CLASP2 	 cytoplasmic linker associated protein 2
cls-1	CLASP2 	 cytoplasmic linker associated protein 2
pqn-68	DTD1 	 D-tyrosyl-tRNA deacylase 1
dpff-1	DPF3 	 D4, zinc and double PHD fingers, family 3
cdh-1	DCHS1 	 dachsous cadherin-related 1
spe-42	DCST2 	 DC-STAMP domain containing 2
dcn-1	DCUN1D2 	 DCN1, defective in cullin neddylation 1, domain containing 2
wdr-23	DCAF11 	 DDB1 and CUL4 associated factor 11
swan-2	DCAF7 	 DDB1 and CUL4 associated factor 7
ipla-1	DDHD1 	 DDHD domain containing 1
cgh-1	DDX6 	 DEAD (Asp-Glu-Ala-Asp) box helicase 6
ddx-19	DDX19A 	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A
ddx-23	DDX23 	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
hel-1	DDX39A 	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
sacy-1	DDX41 	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
drh-1	DDX58 	 DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
chl-1	DDX11 	 DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11
rha-1	DHX9 	 DEAH (Asp-Glu-Ala-His) box helicase 9
mog-4	DHX16 	 DEAH (Asp-Glu-Ala-His) box polypeptide 16
smgl-2	DHX34 	 DEAH (Asp-Glu-Ala-His) box polypeptide 34
rha-2	DHX37 	 DEAH (Asp-Glu-Ala-His) box polypeptide 37
mog-1	DHX38 	 DEAH (Asp-Glu-Ala-His) box polypeptide 38
mog-5	DHX8 	 DEAH (Asp-Glu-Ala-His) box polypeptide 8
dap-3	DAP3 	 death associated protein 3
dapk-1	DAPK1 	 death-associated protein kinase 1
dbr-1	DBR1 	 debranching RNA lariats 1
dcs-1	DCPS 	 decapping enzyme, scavenger
dom-3	DXO 	 decapping exoribonuclease
ced-5	DOCK1 	 dedicator of cytokinesis 1
dad-1	DAD1 	 defender against cell death 1
dhs-9	DHRS1 	 dehydrogenase/reductase (SDR family) member 1
dhs-26	DHRS1 	 dehydrogenase/reductase (SDR family) member 1
dhs-13	DHRS4 	 dehydrogenase/reductase (SDR family) member 4
dhs-30	DHRS7B 	 dehydrogenase/reductase (SDR family) member 7B
unc-40	DCC 	 deleted in colorectal carcinoma
ttm-5	DEGS2 	 delta(4)-desaturase, sphingolipid 2
dohh-1	DOHH 	 deoxyhypusine hydroxylase/monooxygenase
dhps-1	DHPS 	 deoxyhypusine synthase
crn-6	DNASE2B 	 deoxyribonuclease II beta
nuc-1	DNASE2B 	 deoxyribonuclease II beta
crn-7	DNASE2 	 deoxyribonuclease II, lysosomal
dut-1	DUT 	 deoxyuridine triphosphatase
cup-2	DERL1 	 derlin 1
dgk-3	DGKB 	 diacylglycerol kinase, beta 90kDa
dgk-2	DGKE 	 diacylglycerol kinase, epsilon 64kDa
dgk-1	DGKQ 	 diacylglycerol kinase, theta 110kDa
dgk-5	DGKZ 	 diacylglycerol kinase, zeta
mboa-2	DGAT1 	 diacylglycerol O-acyltransferase 1
dhs-21	DCXR 	 dicarbonyl/L-xylulose reductase
dcr-1	DICER1 	 dicer 1, ribonuclease type III
ess-2	DGCR14 	 DiGeorge syndrome critical region gene 14
dhfr-1	DHFR 	 dihydrofolate reductase
dld-1	DLD 	 dihydrolipoamide dehydrogenase
dlat-1	DLAT 	 dihydrolipoamide S-acetyltransferase
dlst-1	DLST 	 dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
dhod-1	DHODH 	 dihydroorotate dehydrogenase (quinone)
dhp-1	DPYS 	 dihydropyrimidinase
dhp-2	DPYS 	 dihydropyrimidinase
dpyd-1	DPYD 	 dihydropyrimidine dehydrogenase
dpf-1	DPP10 	 dipeptidyl-peptidase 10 (non-functional)
dpf-2	DPP4 	 dipeptidyl-peptidase 4
dpf-3	DPP8 	 dipeptidyl-peptidase 8
dph-1	DPH1 	 diphthamide biosynthesis 1
dph-3	DPH3 	 diphthamide biosynthesis 3
dis-3	DIS3 	 DIS3 exosome endoribonuclease and 3'-5' exoribonuclease
ddr-2	DDR2 	 discoidin domain receptor tyrosine kinase 2
dlg-1	DLG2 	 discs, large homolog 2 (Drosophila)
dsh-1	DVL2 	 dishevelled segment polarity protein 2
dsh-2	DVL2 	 dishevelled segment polarity protein 2
ptd-2	DISP1 	 dispatched homolog 1 (Drosophila)
rbc-1	DMXL2 	 Dmx-like 2
ekl-4	DMAP1 	 DNA methyltransferase 1 associated protein 1
dna-2	DNA2 	 DNA replication helicase/nuclease 2
dnj-12	DNAJA4 	 DnaJ (Hsp40) homolog, subfamily A, member 4
dnj-20	DNAJB11 	 DnaJ (Hsp40) homolog, subfamily B, member 11
dnj-1	DNAJB12 	 DnaJ (Hsp40) homolog, subfamily B, member 12
dnj-13	DNAJB4 	 DnaJ (Hsp40) homolog, subfamily B, member 4
dnj-24	DNAJB6 	 DnaJ (Hsp40) homolog, subfamily B, member 6
dnj-2	DNAJC25 	 DnaJ (Hsp40) homolog, subfamily C , member 25
dnj-27	DNAJC10 	 DnaJ (Hsp40) homolog, subfamily C, member 10
dnj-9	DNAJC11 	 DnaJ (Hsp40) homolog, subfamily C, member 11
rme-8	DNAJC13 	 DnaJ (Hsp40) homolog, subfamily C, member 13
dnj-8	DNAJC16 	 DnaJ (Hsp40) homolog, subfamily C, member 16
dnj-21	DNAJC19 	 DnaJ (Hsp40) homolog, subfamily C, member 19
dnj-11	DNAJC2 	 DnaJ (Hsp40) homolog, subfamily C, member 2
dnj-17	DNAJC21 	 DnaJ (Hsp40) homolog, subfamily C, member 21
dnj-7	DNAJC3 	 DnaJ (Hsp40) homolog, subfamily C, member 3
dnj-28	DNAJC3 	 DnaJ (Hsp40) homolog, subfamily C, member 3
dnj-30	DNAJC8 	 DnaJ (Hsp40) homolog, subfamily C, member 8
dnj-23	DNAJC9 	 DnaJ (Hsp40) homolog, subfamily C, member 9
ostb-1	DDOST 	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)
dpm-1	DPM1 	 dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
tbh-1	DBH 	 dopamine beta-hydroxylase (dopamine beta-monooxygenase)
zyg-8	DCLK1 	 doublecortin-like kinase 1
dro-1	DR1 	 down-regulator of transcription 1, TBP-binding (negative cofactor 2)
dpy-19	DPY19L1 	 dpy-19-like 1 (C. elegans)
drsh-1	DROSHA 	 drosha, ribonuclease type III
bli-3	DUOX2 	 dual oxidase 2
duox-2	DUOX2 	 dual oxidase 2
pir-1	DUSP11 	 dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
mbk-2	DYRK2 	 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
dnc-2	DCTN2 	 dynactin 2 (p50)
dnc-4	DCTN4 	 dynactin 4 (p62)
dnc-5	DCTN5 	 dynactin 5 (p25)
dnc-6	DCTN6 	 dynactin 6
dyn-1	DNM1 	 dynamin 1
drp-1	DNM1L 	 dynamin 1-like
dhc-1	DYNC1H1 	 dynein, cytoplasmic 1, heavy chain 1
dli-1	DYNC1LI2 	 dynein, cytoplasmic 1, light intermediate chain 2
che-3	DYNC2H1 	 dynein, cytoplasmic 2, heavy chain 1
xbx-1	DYNC2LI1 	 dynein, cytoplasmic 2, light intermediate chain 1
dlc-1	DYNLL2 	 dynein, light chain, LC8-type 2
dyrb-1	DYNLRB1 	 dynein, light chain, roadblock-type 1
fer-1	DYSF 	 dysferlin
ferl-1	DYSF 	 dysferlin
vab-10	DST 	 dystonin
dyb-1	DTNB 	 dystrobrevin, beta
unc-3	EBF1 	 early B-cell factor 1
elp-1	EML2 	 echinoderm microtubule associated protein like 2
uda-1	ENTPD5 	 ectonucleoside triphosphate diphosphohydrolase 5
mig-23	ENTPD7 	 ectonucleoside triphosphate diphosphohydrolase 7
ntp-1	ENTPD7 	 ectonucleoside triphosphate diphosphohydrolase 7
epg-5	EPG5 	 ectopic P-granules autophagy protein 5 homolog (C. elegans)
rme-1	EHD1 	 EH-domain containing 1
hoe-1	ELAC2 	 elaC ribonuclease Z 2
exc-7	ELAVL4 	 ELAV like neuron-specific RNA binding protein 4
let-721	ETFDH 	 electron-transferring-flavoprotein dehydrogenase
eftu-2	EFTUD2 	 elongation factor Tu GTP binding domain containing 2
elpc-3	ELP3 	 elongator acetyltransferase complex subunit 3
elpc-4	ELP4 	 elongator acetyltransferase complex subunit 4
elo-3	ELOVL6 	 ELOVL fatty acid elongase 6
cps-6	ENDOG 	 endonuclease G
mbf-1	EDF1 	 endothelial differentiation-related factor 1
ced-12	ELMO1 	 engulfment and cell motility 1
enol-1	ENO1 	 enolase 1, (alpha)
ech-2	ECHDC3 	 enoyl CoA hydratase domain containing 3
ech-6	ECHS1 	 enoyl CoA hydratase, short chain, 1, mitochondrial
ech-4	ECI2 	 enoyl-CoA delta isomerase 2
ehs-1	EPS15L1 	 epidermal growth factor receptor pathway substrate 15-like 1
sym-2	ESRP2 	 epithelial splicing regulatory protein 2
ceeh-2	EPHX4 	 epoxide hydrolase 4
ceeh-1	EPHX4 	 epoxide hydrolase 4
eps-8	EPS8L1 	 EPS8-like 1
erl-1	ERLIN2 	 ER lipid raft associated 2
perm-3	EMC4 	 ER membrane protein complex subunit 4
erv-46	ERGIC3 	 ERGIC and golgi 3
ero-1	ERO1LB 	 ERO1-like beta (S. cerevisiae)
frm-1	EPB41L2 	 erythrocyte membrane protein band 4.1-like 2
ckc-1	ETNK1 	 ethanolamine kinase 1
ethe-1	ETHE1 	 ethylmalonic encephalopathy 1
epg-4	EI24 	 etoposide induced 2.4
efk-1	EEF2K 	 eukaryotic elongation factor-2 kinase
eef-1B.1	EEF1B2 	 eukaryotic translation elongation factor 1 beta 2
eef-1B.2	EEF1D 	 eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
eef-1G	EEF1G 	 eukaryotic translation elongation factor 1 gamma
eef-2	EEF2 	 eukaryotic translation elongation factor 2
eif-1.A	EIF1AY 	 eukaryotic translation initiation factor 1A, Y-linked
gcn-2	EIF2AK4 	 eukaryotic translation initiation factor 2 alpha kinase 4
ppp-1	EIF2B3 	 eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
egl-45	EIF3A 	 eukaryotic translation initiation factor 3, subunit A
eif-3.C	EIF3C 	 eukaryotic translation initiation factor 3, subunit C
eif-3.D	EIF3D 	 eukaryotic translation initiation factor 3, subunit D
eif-3.E	EIF3E 	 eukaryotic translation initiation factor 3, subunit E
eif-3.F	EIF3F 	 eukaryotic translation initiation factor 3, subunit F
eif-3.G	EIF3G 	 eukaryotic translation initiation factor 3, subunit G
eif-3.H	EIF3H 	 eukaryotic translation initiation factor 3, subunit H
eif-3.I	EIF3I 	 eukaryotic translation initiation factor 3, subunit I
eif-3.K	EIF3K 	 eukaryotic translation initiation factor 3, subunit K
cif-1	EIF3M 	 eukaryotic translation initiation factor 3, subunit M
inf-1	EIF4A2 	 eukaryotic translation initiation factor 4A2
ife-3	EIF4E 	 eukaryotic translation initiation factor 4E
ife-4	EIF4E2 	 eukaryotic translation initiation factor 4E family member 2
eif-6	EIF6 	 eukaryotic translation initiation factor 6
sec-3	EXOC1 	 exocyst complex component 1
sec-5	EXOC2 	 exocyst complex component 2
sec-6	EXOC3 	 exocyst complex component 3
sec-8	EXOC4 	 exocyst complex component 4
sec-10	EXOC5 	 exocyst complex component 5
sec-15	EXOC6B 	 exocyst complex component 6B
exoc-8	EXOC8 	 exocyst complex component 8
mut-7	EXD3 	 exonuclease 3'-5' domain containing 3
eri-1	ERI1 	 exoribonuclease 1
exos-1	EXOSC1 	 exosome component 1
exos-2	EXOSC2 	 exosome component 2
exos-3	EXOSC3 	 exosome component 3
exos-4.1	EXOSC4 	 exosome component 4
crn-5	EXOSC5 	 exosome component 5
exos-9	EXOSC9 	 exosome component 9
rib-1	EXT1 	 exostosin glycosyltransferase 1
xpo-1	XPO1 	 exportin 1
xpo-3	XPOT 	 exportin, tRNA
esyt-2	ESYT2 	 extended synaptotagmin-like protein 2
eya-1	EYA1 	 eyes absent homolog 1 (Drosophila)
lin-23	FBXW11 	 F-box and WD repeat domain containing 11
mec-15	FBXW9 	 F-box and WD repeat domain containing 9
dre-1	FBXO11 	 F-box protein 11
mfb-1	FBXO25 	 F-box protein 25
fsn-1	FBXO45 	 F-box protein 45
clhm-1	FAM26E 	 family with sequence similarity 26, member E
pqn-44	FAM46C 	 family with sequence similarity 46, member C
fan-1	FAN1 	 FANCD2/FANCI-associated nuclease 1
fnta-1	FNTA 	 farnesyltransferase, CAAX box, alpha
fntb-1	FNTB 	 farnesyltransferase, CAAX box, beta
tag-120	FAIM2 	 Fas apoptotic inhibitory molecule 2
xbx-6	FAIM2 	 Fas apoptotic inhibitory molecule 2
unc-76	FEZ2 	 fasciculation and elongation protein zeta 2 (zygin II)
cdh-4	FAT1 	 FAT atypical cadherin 1
faah-1	FAAH 	 fatty acid amide hydrolase
faah-2	FAAH 	 fatty acid amide hydrolase
faah-3	FAAH 	 fatty acid amide hydrolase
lbp-5	FABP4 	 fatty acid binding protein 4, adipocyte
lbp-6	FABP4 	 fatty acid binding protein 4, adipocyte
lbp-7	FABP4 	 fatty acid binding protein 4, adipocyte
lbp-8	FABP4 	 fatty acid binding protein 4, adipocyte
fat-3	FADS2 	 fatty acid desaturase 2
fat-4	FADS2 	 fatty acid desaturase 2
fasn-1	FASN 	 fatty acid synthase
fard-1	FAR2 	 fatty acyl CoA reductase 2
fem-1	FEM1C 	 fem-1 homolog c (C. elegans)
frk-1	FER 	 fer (fps/fes related) tyrosine kinase
kin-14	FER 	 fer (fps/fes related) tyrosine kinase
unc-112	FERMT2 	 fermitin family member 2
fib-1	FBL 	 fibrillarin
egl-15	FGFR3 	 fibroblast growth factor receptor 3
igcm-4	FGFRL1 	 fibroblast growth factor receptor-like 1
fbl-1	FBLN1 	 fibulin 1
fic-1	FICD 	 FIC domain containing
fln-1	FLNA 	 filamin A, alpha
rps-30	FAU 	 Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed
fis-2	FIS1 	 fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)
fzr-1	FZR1 	 fizzy/cell division cycle 20 related 1 (Drosophila)
fkb-1	FKBP2 	 FK506 binding protein 2, 13kDa
fkb-6	FKBP4 	 FK506 binding protein 4, 59kDa
fkb-3	FKBP9 	 FK506 binding protein 9, 63 kDa
fkb-4	FKBP9 	 FK506 binding protein 9, 63 kDa
fkb-5	FKBP9 	 FK506 binding protein 9, 63 kDa
crn-1	FEN1 	 flap structure-specific endonuclease 1
flad-1	FLAD1 	 flavin adenine dinucleotide synthetase 1
fmo-1	FMO5 	 flavin containing monooxygenase 5
fmo-2	FMO5 	 flavin containing monooxygenase 5
fmo-3	FMO5 	 flavin containing monooxygenase 5
fmo-5	FMO5 	 flavin containing monooxygenase 5
fli-1	FLII 	 flightless I homolog (Drosophila)
toca-2	FNBP1 	 formin binding protein 1
toca-1	FNBP1 	 formin binding protein 1
fhod-1	FHOD1 	 formin homology 2 domain containing 1
lim-9	FHL2 	 four and a half LIM domains 2
cfz-2	FZD8 	 frizzled class receptor 8
fbp-1	FBP2 	 fructose-1,6-bisphosphatase 2
sax-2	FRYL 	 FRY-like
frg-1	FRG1 	 FSHD region gene 1
fut-3	FUT3 	 fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)
fut-8	FUT8 	 fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
fum-1	FH 	 fumarate hydratase
fah-1	FAH 	 fumarylacetoacetate hydrolase (fumarylacetoacetase)
kpc-1	FURIN 	 furin (paired basic amino acid cleaving enzyme)
src-1	FYN 	 FYN oncogene related to SRC, FGR, YES
src-2	FRK 	 fyn-related kinase
exc-5	FGD2 	 FYVE, RhoGEF and PH domain containing 2
grk-1	GRK5 	 G protein-coupled receptor kinase 5
ags-3	GPSM2 	 G-protein signaling modulator 2
erfa-3	GSPT2 	 G1 to S phase transition 2
lgg-1	GABARAPL1 	 GABA(A) receptor-associated protein like 1
tag-96	GALK2 	 galactokinase 2
npr-9	GALR2 	 galanin receptor 2
lgc-37	GABRA6 	 gamma-aminobutyric acid (GABA) A receptor, alpha 6
gab-1	GABRB3 	 gamma-aminobutyric acid (GABA) A receptor, beta 3
gbb-1	GABBR1 	 gamma-aminobutyric acid (GABA) B receptor, 1
gbb-2	GABBR2 	 gamma-aminobutyric acid (GABA) B receptor, 2
gcn-1	GCN1L1 	 GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
gdi-1	GDI1 	 GDP dissociation inhibitor 1
mcp-1	GDPGP1 	 GDP-D-glucose phosphorylase 1
bre-1	GMDS 	 GDP-mannose 4,6-dehydratase
gmd-2	GMDS 	 GDP-mannose 4,6-dehydratase
tag-335	GMPPB 	 GDP-mannose pyrophosphorylase B
ttb-1	GTF2B 	 general transcription factor IIB
gcl-1	GMCL1 	 germ cell-less, spermatogenesis associated 1
gipc-2	GIPC1 	 GIPC PDZ domain containing family, member 1
gipc-1	GIPC1 	 GIPC PDZ domain containing family, member 1
gna-1	GNPNAT1 	 glucosamine-phosphate N-acetyltransferase 1
gna-2	GNPNAT1 	 glucosamine-phosphate N-acetyltransferase 1
gly-1	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gly-15	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gly-16	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gly-17	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gly-18	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gly-19	GCNT3 	 glucosaminyl (N-acetyl) transferase 3, mucin type
gspd-1	G6PD 	 glucose-6-phosphate dehydrogenase
gpi-1	GPI 	 glucose-6-phosphate isomerase
aagr-3	GANAB 	 glucosidase, alpha; neutral AB
aagr-4	GANAB 	 glucosidase, alpha; neutral AB
hpo-13	GBA2 	 glucosidase, beta (bile acid) 2
gba-3	GBA 	 glucosidase, beta, acid
gba-1	GBA 	 glucosidase, beta, acid
gba-2	GBA 	 glucosidase, beta, acid
gba-4	GBA 	 glucosidase, beta, acid
hse-5	GLCE 	 glucuronic acid epimerase
unc-25	GAD1 	 glutamate decarboxylase 1 (brain, 67kDa)
gdh-1	GLUD1 	 glutamate dehydrogenase 1
glr-1	GRIA3 	 glutamate receptor, ionotropic, AMPA 3
glr-2	GRIA3 	 glutamate receptor, ionotropic, AMPA 3
glr-3	GRIK2 	 glutamate receptor, ionotropic, kainate 2
glr-4	GRIK2 	 glutamate receptor, ionotropic, kainate 2
nmr-1	GRIN1 	 glutamate receptor, ionotropic, N-methyl D-aspartate 1
nmr-2	GRIN2D 	 glutamate receptor, ionotropic, N-methyl D-aspartate 2D
mgl-1	GRM3 	 glutamate receptor, metabotropic 3
mgl-3	GRM7 	 glutamate receptor, metabotropic 7
gln-1	GLUL 	 glutamate-ammonia ligase
gcs-1	GCLC 	 glutamate-cysteine ligase, catalytic subunit
got-1.2	GOT1 	 glutamic-oxaloacetic transaminase 1, soluble
got-2.2	GOT2 	 glutamic-oxaloacetic transaminase 2, mitochondrial
got-2.1	GOT2 	 glutamic-oxaloacetic transaminase 2, mitochondrial
glna-1	GLS 	 glutaminase
glna-2	GLS 	 glutaminase
glna-3	GLS 	 glutaminase
qars-1	QARS 	 glutaminyl-tRNA synthetase
ears-2	EARS2 	 glutamyl-tRNA synthetase 2, mitochondrial
glrx-10	GLRX 	 glutaredoxin (thioltransferase)
glrx-3	GLRX3 	 glutaredoxin 3
glrx-5	GLRX5 	 glutaredoxin 5
gsr-1	GSR 	 glutathione reductase
gstk-1	GSTK1 	 glutathione S-transferase kappa 1
gst-44	GSTO1 	 glutathione S-transferase omega 1
gsto-2	GSTO1 	 glutathione S-transferase omega 1
gsto-1	GSTO1 	 glutathione S-transferase omega 1
gsto-3	GSTO1 	 glutathione S-transferase omega 1
gst-42	GSTZ1 	 glutathione S-transferase zeta 1
gst-43	GSTZ1 	 glutathione S-transferase zeta 1
gss-1	GSS 	 glutathione synthetase
gpd-1	GAPDH 	 glyceraldehyde-3-phosphate dehydrogenase
gpd-2	GAPDH 	 glyceraldehyde-3-phosphate dehydrogenase
gpd-3	GAPDH 	 glyceraldehyde-3-phosphate dehydrogenase
gpd-4	GAPDH 	 glyceraldehyde-3-phosphate dehydrogenase
acl-6	GPAM 	 glycerol-3-phosphate acyltransferase, mitochondrial
gpdh-2	GPD1 	 glycerol-3-phosphate dehydrogenase 1 (soluble)
acl-7	GNPAT 	 glyceronephosphate O-acyltransferase
gcsh-1	GCSH 	 glycine cleavage system protein H (aminomethyl carrier)
avr-14	GLRA1 	 glycine receptor, alpha 1
avr-15	GLRA1 	 glycine receptor, alpha 1
glc-1	GLRA1 	 glycine receptor, alpha 1
glc-3	GLRA1 	 glycine receptor, alpha 1
glc-2	GLRA3 	 glycine receptor, alpha 3
gsy-1	GYS1 	 glycogen synthase 1 (muscle)
gsk-3	GSK3B 	 glycogen synthase kinase 3 beta
gyg-1	GYG2 	 glycogenin 2
gyg-2	GYG2 	 glycogenin 2
tag-296	GLTPD1 	 glycolipid transfer protein domain containing 1
gars-1	GARS 	 glycyl-tRNA synthetase
glod-4	GLOD4 	 glyoxalase domain containing 4
gpn-1	GPC4 	 glypican 4
gsa-1	GNAS 	 GNAS complex locus
gbf-1	GBF1 	 golgi brefeldin A resistant guanine nucleotide exchange factor 1
gos-28	GOSR1 	 golgi SNAP receptor complex member 1
memb-1	GOSR2 	 golgi SNAP receptor complex member 2
gopc-1	GOPC 	 golgi-associated PDZ and coiled-coil motif containing
gop-2	GPN1 	 GPN-loop GTPase 1
sem-5	GRB2 	 growth factor receptor-bound protein 2
tbc-6	GRTP1 	 growth hormone regulated TBC protein 1
cgp-1	GTPBP1 	 GTP binding protein 1
cat-4	GCH1 	 GTP cyclohydrolase 1
gfrp-1	GCHFR 	 GTP cyclohydrolase I feedback regulator
gpa-12	GNA12 	 guanine nucleotide binding protein (G protein) alpha 12
egl-30	GNA11 	 guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
goa-1	GNAO1 	 guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
gpa-16	GNAI1 	 guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1
gpb-2	GNB5 	 guanine nucleotide binding protein (G protein), beta 5
gpb-1	GNB1 	 guanine nucleotide binding protein (G protein), beta polypeptide 1
rack-1	GNB2L1 	 guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
ngp-1	GNL2 	 guanine nucleotide binding protein-like 2 (nucleolar)
guk-1	GUK1 	 guanylate kinase 1
ced-6	GULP1 	 GULP, engulfment adaptor PTB domain containing 1
htz-1	H2AFV 	 H2A histone family, member V
toe-1	HEATR1 	 HEAT repeat containing 1
hsp-60	HSPD1 	 heat shock 60kDa protein 1 (chaperonin)
hsp-3	HSPA5 	 heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
hsp-4	HSPA5 	 heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
hsp-1	HSPA8 	 heat shock 70kDa protein 8
hsp-6	HSPA9 	 heat shock 70kDa protein 9 (mortalin)
stc-1	HSPA13 	 heat shock protein 70kDa family, member 13
daf-21	HSP90AB1 	 heat shock protein 90kDa alpha (cytosolic), class B member 1
herc-1	HERC3 	 HECT and RLD domain containing E3 ubiquitin protein ligase 3
hecd-1	HECTD1 	 HECT domain containing E3 ubiquitin protein ligase 1
hhat-2	HHAT 	 hedgehog acyltransferase
hhat-1	HHAT 	 hedgehog acyltransferase
helq-1	HELQ 	 helicase, POLQ-like
gst-2	HPGDS 	 hematopoietic prostaglandin D synthase
gst-3	HPGDS 	 hematopoietic prostaglandin D synthase
gst-4	HPGDS 	 hematopoietic prostaglandin D synthase
gst-5	HPGDS 	 hematopoietic prostaglandin D synthase
gst-6	HPGDS 	 hematopoietic prostaglandin D synthase
gst-7	HPGDS 	 hematopoietic prostaglandin D synthase
gst-8	HPGDS 	 hematopoietic prostaglandin D synthase
gst-9	HPGDS 	 hematopoietic prostaglandin D synthase
gst-11	HPGDS 	 hematopoietic prostaglandin D synthase
gst-12	HPGDS 	 hematopoietic prostaglandin D synthase
gst-13	HPGDS 	 hematopoietic prostaglandin D synthase
gst-14	HPGDS 	 hematopoietic prostaglandin D synthase
gst-15	HPGDS 	 hematopoietic prostaglandin D synthase
gst-16	HPGDS 	 hematopoietic prostaglandin D synthase
gst-17	HPGDS 	 hematopoietic prostaglandin D synthase
gst-18	HPGDS 	 hematopoietic prostaglandin D synthase
gst-19	HPGDS 	 hematopoietic prostaglandin D synthase
gst-20	HPGDS 	 hematopoietic prostaglandin D synthase
gst-21	HPGDS 	 hematopoietic prostaglandin D synthase
gst-22	HPGDS 	 hematopoietic prostaglandin D synthase
gst-24	HPGDS 	 hematopoietic prostaglandin D synthase
gst-26	HPGDS 	 hematopoietic prostaglandin D synthase
gst-27	HPGDS 	 hematopoietic prostaglandin D synthase
gst-28	HPGDS 	 hematopoietic prostaglandin D synthase
gst-29	HPGDS 	 hematopoietic prostaglandin D synthase
gst-30	HPGDS 	 hematopoietic prostaglandin D synthase
gst-31	HPGDS 	 hematopoietic prostaglandin D synthase
gst-32	HPGDS 	 hematopoietic prostaglandin D synthase
gst-33	HPGDS 	 hematopoietic prostaglandin D synthase
gst-34	HPGDS 	 hematopoietic prostaglandin D synthase
gst-35	HPGDS 	 hematopoietic prostaglandin D synthase
gst-36	HPGDS 	 hematopoietic prostaglandin D synthase
gst-37	HPGDS 	 hematopoietic prostaglandin D synthase
